id;latitude;longitude;some features;labels
88;3715.222222;-672.8222222;Large;1
89;3757.722222;-688.5555556;Medium;1
90;3800.222222;-704.2888889;Medium;1
91;3842.722222;-720.0222222;Medium;1
92;3885.222222;-735.7555556;Large;1
93;3927.722222;-751.4888889;Large;1
94;3970.222222;-767.2222222;Medium;1
95;4012.722222;-782.9555556;Medium;1
96;4055.222222;-798.6888889;Medium;1
97;4097.722222;-814.4222222;Small;1
98;4140.222222;-830.1555556;Small;1
99;4182.722222;-845.8888889;Small;1
100;4225.222222;-861.6222222;Very Small;1
101;4267.722222;-877.3555556;Large;1
102;4310.222222;-893.0888889;Large;1
103;4352.722222;-908.8222222;Medium;1
104;4395.222222;-924.5555556;Medium;1
105;4437.722222;-940.2888889;Medium;1
106;4480.222222;-956.0222222;Small;1
107;4522.722222;-971.7555556;Small;1
108;4565.222222;-987.4888889;Small;1
109;4607.722222;-1003.222222;Very Small;1
110;4650.222222;-1018.955556;Large;1
111;4692.722222;-1034.688889;Large;1
112;4735.222222;-1050.422222;Medium;1
113;4777.722222;-1066.155556;Medium;1
114;4820.222222;-1081.888889;Medium;1
115;4862.722222;-1097.622222;Large;1
116;4905.222222;-1113.355556;Large;1
117;4947.722222;-1129.088889;Medium;1
118;4990.222222;-1144.822222;Medium;1
119;5032.722222;-1160.555556;Medium;1
120;5075.222222;-1176.288889;Small;1
121;5117.722222;-1192.022222;Small;1
122;5160.222222;-1207.755556;Small;1
123;5202.722222;-1223.488889;Very Small;1
124;5245.222222;-1239.222222;Large;1
125;5287.722222;-1254.955556;Large;1
126;5330.222222;-1270.688889;Medium;1
127;5372.722222;-1286.422222;Medium;1
128;5415.222222;-1302.155556;Medium;1
129;5457.722222;-1317.888889;Small;1
130;5500.222222;-1333.622222;Small;1
131;5542.722222;-1349.355556;Small;1
132;5585.222222;-1365.088889;Very Small;1
133;5627.722222;-1380.822222;Large;1
134;5670.222222;-1396.555556;Large;1
135;5712.722222;-1412.288889;Medium;1
136;5755.222222;-1428.022222;Medium;1
137;5797.722222;-1443.755556;Medium;1
138;5840.222222;-1459.488889;Large;1
139;5882.722222;-1475.222222;Large;1
140;5925.222222;-1490.955556;Medium;1
141;5967.722222;-1506.688889;Medium;1
142;6010.222222;-1522.422222;Medium;1
143;6052.722222;-1538.155556;Small;1
144;6095.222222;-1553.888889;Small;1
145;6137.722222;-1569.622222;Small;1
146;6180.222222;-1585.355556;Very Small;1
147;6222.722222;-1601.088889;Large;1
148;6265.222222;-1616.822222;Large;1
149;6307.722222;-1632.555556;Medium;1
150;6350.222222;-1648.288889;Medium;1
151;6392.722222;-1664.022222;Medium;1
152;6435.222222;-1679.755556;Small;1
153;6477.722222;-1695.488889;Small;1
154;6520.222222;-1711.222222;Small;0
155;6562.722222;-1726.955556;Very Small;0
156;6605.222222;-1742.688889;Large;0
157;6647.722222;-1758.422222;Large;0
158;6690.222222;-1774.155556;Medium;0
159;6732.722222;-1789.888889;Medium;0
160;6775.222222;-1805.622222;Medium;0
161;6817.722222;-1821.355556;Large;0
162;6860.222222;-1837.088889;Large;0
163;6902.722222;-1852.822222;Medium;0
164;6945.222222;-1868.555556;Medium;0
165;6987.722222;-1884.288889;Medium;0
166;7030.222222;-1900.022222;Small;0
167;7072.722222;-1915.755556;Small;0
168;7115.222222;-1931.488889;Small;0
169;7157.722222;-1947.222222;Very Small;0
170;7200.222222;-1962.955556;Large;0
171;7242.722222;-1978.688889;Large;0
172;7285.222222;-1994.422222;Medium;0
173;7327.722222;-2010.155556;Medium;0
174;7370.222222;-2025.888889;Medium;0
175;7412.722222;-2041.622222;Small;0
176;7455.222222;-2057.355556;Small;0
177;7497.722222;-2073.088889;Small;0
178;7540.222222;-2088.822222;Very Small;0
179;7582.722222;-2104.555556;Large;0
180;7625.222222;-2120.288889;Large;0
181;7667.722222;-2136.022222;Medium;0
182;7710.222222;-2151.755556;Medium;0
183;7752.722222;-2167.488889;Medium;0
184;7795.222222;-2183.222222;Large;0
185;7837.722222;-2198.955556;Large;0
186;7880.222222;-2214.688889;Medium;0
187;7922.722222;-2230.422222;Medium;0
188;7965.222222;-2246.155556;Medium;0
189;8007.722222;-2261.888889;Small;0
190;8050.222222;-2277.622222;Small;0
191;8092.722222;-2293.355556;Small;0
192;8135.222222;-2309.088889;Very Small;0
193;8177.722222;-2324.822222;Large;0
194;8220.222222;-2340.555556;Large;0
195;8262.722222;-2356.288889;Medium;0
196;8305.222222;-2372.022222;Medium;0
197;8347.722222;-2387.755556;Medium;0
198;8390.222222;-2403.488889;Small;0
199;8432.722222;-2419.222222;Small;0
200;8475.222222;-2434.955556;Small;0
201;8517.722222;-2450.688889;Very Small;0
202;8560.222222;-2466.422222;Large;0
203;8602.722222;-2482.155556;Large;0
204;8645.222222;-2497.888889;Medium;0
205;8687.722222;-2513.622222;Medium;1
206;8730.222222;-2529.355556;Medium;1
207;8772.722222;-2545.088889;Large;1
208;8815.222222;-2560.822222;Large;1
209;8857.722222;-2576.555556;Medium;1
210;8900.222222;-2592.288889;Medium;1
211;8942.722222;-2608.022222;Medium;1
212;8985.222222;-2623.755556;Small;1
213;9027.722222;-2639.488889;Small;1
214;9070.222222;-2655.222222;Small;1
215;9112.722222;-2670.955556;Very Small;1
216;9155.222222;-2686.688889;Large;1
217;9197.722222;-2702.422222;Large;1
218;9240.222222;-2718.155556;Medium;1
219;9282.722222;-2733.888889;Medium;1
220;9325.222222;-2749.622222;Medium;1
221;9367.722222;-2765.355556;Small;1
222;9410.222222;-2781.088889;Small;1
223;9452.722222;-2796.822222;Small;1
224;9495.222222;-2812.555556;Very Small;1
225;9537.722222;-2828.288889;Large;1
226;9580.222222;-2844.022222;Large;1
227;9622.722222;-2859.755556;Medium;1
228;9665.222222;-2875.488889;Medium;1
229;9707.722222;-2891.222222;Medium;1
230;9750.222222;-2906.955556;Large;1
231;9792.722222;-2922.688889;Large;1
232;9835.222222;-2938.422222;Medium;1
233;9877.722222;-2954.155556;Medium;1
234;9920.222222;-2969.888889;Medium;1
235;9962.722222;-2985.622222;Small;1
236;10005.22222;-3001.355556;Small;1
237;10047.72222;-3017.088889;Small;1
238;10090.22222;-3032.822222;Very Small;1
239;10132.72222;-3048.555556;Large;1
240;10175.22222;-3064.288889;Large;1
241;10217.72222;-3080.022222;Medium;1
242;10260.22222;-3095.755556;Medium;1
243;10302.72222;-3111.488889;Medium;1
244;10345.22222;-3127.222222;Small;1
245;10387.72222;-3142.955556;Small;1
246;10430.22222;-3158.688889;Small;1
247;10472.72222;-3174.422222;Very Small;1
248;10515.22222;-3190.155556;Large;1
249;10557.72222;-3205.888889;Large;1
250;10600.22222;-3221.622222;Medium;1
251;10642.72222;-3237.355556;Medium;1
252;10685.22222;-3253.088889;Medium;1
253;10727.72222;-3268.822222;Large;1
254;10770.22222;-3284.555556;Large;1
255;10812.72222;-3300.288889;Medium;1
256;10855.22222;-3316.022222;Medium;1
257;10897.72222;-3331.755556;Medium;1
258;10940.22222;-3347.488889;Small;1
259;10982.72222;-3363.222222;Small;1
260;11025.22222;-3378.955556;Small;1
261;11067.72222;-3394.688889;Very Small;1
262;11110.22222;-3410.422222;Large;1
263;11152.72222;-3426.155556;Large;1
264;11195.22222;-3441.888889;Medium;1
265;11237.72222;-3457.622222;Medium;1
266;11280.22222;-3473.355556;Medium;1
267;11322.72222;-3489.088889;Small;1
268;11365.22222;-3504.822222;Small;1
269;11407.72222;-3520.555556;Small;1
270;11450.22222;-3536.288889;Very Small;1
271;11492.72222;-3552.022222;Large;1
272;11535.22222;-3567.755556;Large;1
273;11577.72222;-3583.488889;Medium;1
274;11620.22222;-3599.222222;Medium;1
275;11662.72222;-3614.955556;Medium;1
276;11705.22222;-3630.688889;Large;1
277;11747.72222;-3646.422222;Large;1
278;11790.22222;-3662.155556;Medium;1
279;11832.72222;-3677.888889;Medium;1
280;11875.22222;-3693.622222;Medium;1
281;11917.72222;-3709.355556;Small;1
282;11960.22222;-3725.088889;Small;1
283;12002.72222;-3740.822222;Small;1
284;12045.22222;-3756.555556;Very Small;1
285;12087.72222;-3772.288889;Large;1
286;12130.22222;-3788.022222;Large;1
287;12172.72222;-3803.755556;Medium;1
288;12215.22222;-3819.488889;Medium;1
289;12257.72222;-3835.222222;Medium;1
290;12300.22222;-3850.955556;Small;1
291;12342.72222;-3866.688889;Small;1
292;12385.22222;-3882.422222;Small;1
293;12427.72222;-3898.155556;Very Small;1
294;12470.22222;-3913.888889;Large;1
295;12512.72222;-3929.622222;Large;1
296;12555.22222;-3945.355556;Medium;1
297;12597.72222;-3961.088889;Medium;1
298;12640.22222;-3976.822222;Medium;1
299;12682.72222;-3992.555556;Large;1
300;12725.22222;-4008.288889;Large;1
301;12767.72222;-4024.022222;Medium;1
302;12810.22222;-4039.755556;Medium;1
303;12852.72222;-4055.488889;Medium;1
304;12895.22222;-4071.222222;Small;1
305;12937.72222;-4086.955556;Small;1
306;12980.22222;-4102.688889;Small;1
307;13022.72222;-4118.422222;Very Small;1
308;13065.22222;-4134.155556;Large;1
309;13107.72222;-4149.888889;Large;1
310;13150.22222;-4165.622222;Medium;1
311;13192.72222;-4181.355556;Medium;1
312;13235.22222;-4197.088889;Medium;1
313;13277.72222;-4212.822222;Small;1
314;13320.22222;-4228.555556;Small;1
315;13362.72222;-4244.288889;Small;1
316;13405.22222;-4260.022222;Very Small;1
317;13447.72222;-4275.755556;Large;1
318;13490.22222;-4291.488889;Large;1
319;13532.72222;-4307.222222;Medium;1
320;13575.22222;-4322.955556;Medium;1
321;13617.72222;-4338.688889;Medium;1
322;13660.22222;-4354.422222;Large;1
323;13702.72222;-4370.155556;Large;1
324;13745.22222;-4385.888889;Medium;1
325;13787.72222;-4401.622222;Medium;1
326;13830.22222;-4417.355556;Medium;1
327;13872.72222;-4433.088889;Small;1
328;13915.22222;-4448.822222;Small;1
329;13957.72222;-4464.555556;Small;1
330;14000.22222;-4480.288889;Very Small;1
331;14042.72222;-4496.022222;Large;1
332;14085.22222;-4511.755556;Large;1
333;14127.72222;-4527.488889;Medium;1
334;14170.22222;-4543.222222;Medium;1
335;14212.72222;-4558.955556;Medium;1
336;14255.22222;-4574.688889;Small;1
337;14297.72222;-4590.422222;Small;1
338;14340.22222;-4606.155556;Small;1
339;14382.72222;-4621.888889;Very Small;1
340;14425.22222;-4637.622222;Large;1
341;14467.72222;-4653.355556;Large;1
342;14510.22222;-4669.088889;Medium;1
343;14552.72222;-4684.822222;Medium;1
344;14595.22222;-4700.555556;Medium;1
345;14637.72222;-4716.288889;Large;1
346;14680.22222;-4732.022222;Large;1
347;14722.72222;-4747.755556;Medium;1
348;14765.22222;-4763.488889;Medium;1
349;14807.72222;-4779.222222;Medium;1
350;14850.22222;-4794.955556;Small;1
351;14892.72222;-4810.688889;Small;1
352;14935.22222;-4826.422222;Small;1
353;14977.72222;-4842.155556;Very Small;1
354;15020.22222;-4857.888889;Large;1
355;15062.72222;-4873.622222;Large;1
356;15105.22222;-4889.355556;Medium;1
357;15147.72222;-4905.088889;Medium;1
358;15190.22222;-4920.822222;Medium;1
359;15232.72222;-4936.555556;Small;1
360;15275.22222;-4952.288889;Small;1
361;15317.72222;-4968.022222;Small;1
362;15360.22222;-4983.755556;Very Small;1
363;15402.72222;-4999.488889;Large;1
364;15445.22222;-5015.222222;Large;1
365;15487.72222;-5030.955556;Medium;1
366;15530.22222;-5046.688889;Medium;1
367;15572.72222;-5062.422222;Medium;1
368;15615.22222;-5078.155556;Large;1
369;15657.72222;-5093.888889;Large;1
370;15700.22222;-5109.622222;Medium;1
371;15742.72222;-5125.355556;Medium;1
372;15785.22222;-5141.088889;Medium;1
373;15827.72222;-5156.822222;Small;1
374;15870.22222;-5172.555556;Small;1
375;15912.72222;-5188.288889;Small;1
